,trial_names,result
365,pick_and_place_simple-HandTowel-None-Cabinet-414_0:,PASS
366,pick_and_place_simple-Book-None-Sofa-229_0:,PASS
367,pick_and_place_simple-SoapBottle-None-SideTable-420_0:,PASS
368,pick_and_place_simple-SoapBottle-None-SideTable-420_0:,PASS
369,pick_and_place_simple-PepperShaker-None-Drawer-13_0:,PASS
370,pick_and_place_simple-ToiletPaper-None-Shelf-429_0:,FAIL
371,pick_and_place_simple-BasketBall-None-Dresser-314_0:,FAIL
372,pick_and_place_simple-BasketBall-None-Dresser-314_0:,FAIL
373,pick_and_place_simple-HandTowel-None-Cabinet-414_0:,FAIL
374,pick_and_place_simple-CreditCard-None-DiningTable-329_0:,FAIL
375,pick_and_place_simple-ToiletPaper-None-Shelf-429_0:,FAIL
376,pick_and_place_simple-PepperShaker-None-Drawer-13_0:,FAIL
377,pick_and_place_simple-Cloth-None-Toilet-417_0:,PASS
378,pick_and_place_simple-Candle-None-CounterTop-411_0:,PASS
379,pick_and_place_simple-Cloth-None-Toilet-417_0:,PASS
380,pick_and_place_simple-CreditCard-None-ArmChair-206_0:,PASS
381,pick_and_place_simple-Cloth-None-SinkBasin-417_0:,PASS
382,pick_and_place_simple-Box-None-ArmChair-217_0:,PASS
383,pick_and_place_simple-CreditCard-None-ArmChair-206_0:,PASS
384,pick_and_place_simple-Box-None-ArmChair-217_0:,PASS
385,pick_and_place_simple-Cloth-None-SinkBasin-417_0:,PASS
386,pick_and_place_simple-Candle-None-CounterTop-411_0:,PASS
387,pick_and_place_simple-Laptop-None-Ottoman-210_0:,PASS
388,pick_and_place_simple-Cloth-None-SinkBasin-417_0:,PASS
389,pick_and_place_simple-Candle-None-CounterTop-411_0:,PASS
390,pick_and_place_simple-Box-None-ArmChair-217_0:,PASS
391,pick_and_place_simple-Cloth-None-Toilet-417_0:,PASS
392,pick_and_place_simple-Laptop-None-Ottoman-210_0:,PASS
393,pick_and_place_simple-Laptop-None-Ottoman-210_0:,PASS
394,pick_and_place_simple-CD-None-Shelf-319_0:,PASS
395,pick_and_place_simple-CellPhone-None-Drawer-324_0:,PASS
396,pick_and_place_simple-CellPhone-None-Drawer-324_0:,PASS
397,pick_and_place_simple-Laptop-None-Desk-306_0:,PASS
398,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-427_0:,PASS
399,pick_and_place_simple-TennisRacket-None-Desk-318_0:,PASS
400,pick_and_place_simple-Laptop-None-Desk-306_0:,PASS
401,pick_and_place_simple-TennisRacket-None-Desk-318_0:,PASS
402,pick_and_place_simple-Laptop-None-Desk-306_0:,PASS
